"","DistNo.","nX","P2","Q","TruROP","Method","Mean"
"289","13","7","0.8","31","141.011431961077","boot","137.833670045236"
"290","13","7","0.85","42","146.733474238897","boot","137.614065640413"
"291","13","7","0.9","63","152.448908034673","boot","137.587923859705"
"292","13","7","0.95","73","159.593970198639","boot","138.340898470207"
"293","13","7","0.98","130","166.666125286854","boot","138.48914483116"
"294","13","7","0.99","156","171.141547395855","boot","138.932640835539"
"295","13","12","0.8","31","141.011431961077","boot","148.309306485831"
"296","13","12","0.85","42","146.733474238897","boot","148.26534039938"
"297","13","12","0.9","63","152.448908034673","boot","148.292438777335"
"298","13","12","0.95","73","159.593970198639","boot","149.123395752932"
"299","13","12","0.98","130","166.666125286854","boot","149.487539532352"
"300","13","12","0.99","156","171.141547395855","boot","149.811572388341"
"301","13","24","0.8","31","141.011431961077","boot","157.548705101309"
"302","13","24","0.85","42","146.733474238897","boot","157.504049103574"
"303","13","24","0.9","63","152.448908034673","boot","157.507036223906"
"304","13","24","0.95","73","159.593970198639","boot","158.815620927926"
"305","13","24","0.98","130","166.666125286854","boot","159.361523956627"
"306","13","24","0.99","156","171.141547395855","boot","159.899364096023"
"307","13","30","0.8","31","141.011431961077","boot","158.69102904925"
"308","13","30","0.85","42","146.733474238897","boot","158.662959602685"
"309","13","30","0.9","63","152.448908034673","boot","158.672319363248"
"310","13","30","0.95","73","159.593970198639","boot","160.134490399092"
"311","13","30","0.98","130","166.666125286854","boot","160.872429266602"
"312","13","30","0.99","156","171.141547395855","boot","161.518288817631"
"313","14","7","0.8","46","121.593968479976","boot","161.468687461936"
"314","14","7","0.85","63","188.267432857006","boot","161.329217883803"
"315","14","7","0.9","95","196.751477053627","boot","161.561412267402"
"316","14","7","0.95","110","205.25914363718","boot","162.479540064065"
"317","14","7","0.98","195","212.915777803164","boot","162.590961736423"
"318","14","7","0.99","235","217.501051914947","boot","162.969981203702"
"319","14","12","0.8","46","121.593968479976","boot","178.873119135647"
"320","14","12","0.85","63","188.267432857006","boot","179.290102285639"
"321","14","12","0.9","95","196.751477053627","boot","179.044981001468"
"322","14","12","0.95","110","205.25914363718","boot","180.201954850902"
"323","14","12","0.98","195","212.915777803164","boot","180.562667392464"
"324","14","12","0.99","235","217.501051914947","boot","181.20970587031"
"325","14","24","0.8","46","121.593968479976","boot","198.219848611788"
"326","14","24","0.85","63","188.267432857006","boot","198.283234445813"
"327","14","24","0.9","95","196.751477053627","boot","198.249376916649"
"328","14","24","0.95","110","205.25914363718","boot","199.764685572986"
"329","14","24","0.98","195","212.915777803164","boot","200.507118325146"
"330","14","24","0.99","235","217.501051914947","boot","201.155234917916"
"331","14","30","0.8","46","121.593968479976","boot","202.588858254558"
"332","14","30","0.85","63","188.267432857006","boot","202.242207329793"
"333","14","30","0.9","95","196.751477053627","boot","202.53714749602"
"334","14","30","0.95","110","205.25914363718","boot","204.232455608395"
"335","14","30","0.98","195","212.915777803164","boot","204.905732823723"
"336","14","30","0.99","235","217.501051914947","boot","205.677796927307"
"337","15","7","0.8","93","84.3024578264449","boot","202.240876780434"
"338","15","7","0.85","126","293.643981898674","boot","201.911560300837"
"339","15","7","0.9","190","299.282527304822","boot","201.864153236636"
"340","15","7","0.95","220","304.941878843107","boot","202.963360407132"
"341","15","7","0.98","390","310.028536608226","boot","204.348713119725"
"342","15","7","0.99","470","313.140580406569","boot","205.28890891511"
"343","15","12","0.8","93","84.3024578264449","boot","255.076008129851"
"344","15","12","0.85","126","293.643981898674","boot","255.386545735266"
"345","15","12","0.9","190","299.282527304822","boot","255.142378375631"
"346","15","12","0.95","220","304.941878843107","boot","256.864017298448"
"347","15","12","0.98","390","310.028536608226","boot","256.898528876031"
"348","15","12","0.99","470","313.140580406569","boot","257.797749990844"
"349","15","24","0.8","93","84.3024578264449","boot","292.430390357619"
"350","15","24","0.85","126","293.643981898674","boot","292.385224651014"
"351","15","24","0.9","190","299.282527304822","boot","292.226805734767"
"352","15","24","0.95","220","304.941878843107","boot","293.959750842521"
"353","15","24","0.98","390","310.028536608226","boot","294.313596656355"
"354","15","24","0.99","470","313.140580406569","boot","295.461360505227"
"355","15","30","0.8","93","84.3024578264449","boot","297.369145973729"
"356","15","30","0.85","126","293.643981898674","boot","297.395535636051"
"357","15","30","0.9","190","299.282527304822","boot","297.417482331731"
"358","15","30","0.95","220","304.941878843107","boot","299.246500696601"
"359","15","30","0.98","390","310.028536608226","boot","299.787550147374"
"360","15","30","0.99","470","313.140580406569","boot","300.608967536077"
"361","16","7","0.8","187","40.2471886463987","boot","286.121654447581"
"362","16","7","0.85","253","42.3366530143167","boot","286.401553823217"
"363","16","7","0.9","380","53.8408785916683","boot","287.32592927831"
"364","16","7","0.95","440","699.77830052895","boot","292.864227602556"
"365","16","7","0.98","780","704.518153304893","boot","292.664829409494"
"366","16","7","0.99","940","706.977940640558","boot","294.153356739212"
"367","16","12","0.8","187","40.2471886463987","boot","415.18500534738"
"368","16","12","0.85","253","42.3366530143167","boot","415.167246745096"
"369","16","12","0.9","380","53.8408785916683","boot","414.197172937073"
"370","16","12","0.95","440","699.77830052895","boot","417.731230313164"
"371","16","12","0.98","780","704.518153304893","boot","417.485964453835"
